loc_x,loc_y,minutes_remaining,shot_distance,shot_made_flag,shot_id
167,72,10,18,,1
-157,0,10,15,0,2
-101,135,7,16,1,3
138,175,6,22,0,4
0,0,6,0,1,5
-145,-11,9,14,0,6
0,0,8,0,1,7
1,28,8,2,,8
-65,108,6,12,1,9
-33,125,3,12,0,10
-94,238,1,25,0,11
121,127,11,17,1,12
-67,110,7,12,1,13
-94,4,2,9,0,14
-23,47,1,5,0,15
62,192,0,20,0,16
0,0,0,0,,17
-117,226,8,25,1,18
-132,97,11,16,0,19
0,0,10,0,,20
3,144,10,14,0,21
134,127,9,18,0,22
-16,110,7,11,1,23
-109,150,5,18,1,24
-46,63,5,7,1,25
0,0,2,0,0,26
-58,196,2,20,0,27
-183,186,0,26,0,28
85,173,8,19,0,29
3,87,6,8,0,30
121,4,1,12,1,31
127,34,0,13,0,32
163,76,11,17,,33
70,194,10,20,,34
1,19,7,1,,35
-12,15,5,1,,36
1,4,4,0,,37
-117,116,5,16,,38
91,184,3,20,1,39
-27,272,0,27,1,40
-176,66,11,18,0,41
7,4,10,0,1,42
150,133,8,20,1,43
49,15,8,5,0,44
-12,19,4,2,,45
-4,4,3,0,1,46
-4,4,2,0,0,47
1,9,2,0,1,48
121,120,4,17,1,49
-176,30,3,17,,50
1,9,1,0,0,51
-12,9,1,1,0,52
24,70,10,7,0,53
-189,-4,10,18,0,54
-141,247,4,28,,55
-155,194,2,24,0,56
1,228,11,22,1,57
0,0,8,0,1,58
0,0,4,0,1,59
146,241,3,28,,60
-33,108,2,11,0,61
22,49,0,5,1,62
0,0,9,0,0,63
56,21,0,5,0,64
121,26,0,12,1,65
-10,91,10,9,,66
-119,36,9,12,,67
231,57,8,23,0,68
0,0,7,0,1,69
0,0,7,0,1,70
159,110,5,19,,71
7,257,3,25,1,72
0,0,7,0,1,73
51,57,2,7,0,74
167,190,0,25,0,75
-119,190,11,22,1,76
16,57,9,5,0,77
-84,110,7,13,0,78
-71,42,0,8,0,79
